BOOKS,URL,HomePage
College Physics ,https://openstax.org/books/college-physics/pages/,preface
College Physics 2e,https://openstax.org/books/college-physics-2e/pages/,preface
College Physics for AP Courses 2e,https://openstax.org/books/college-physics-ap-courses-2e/pages/,preface
High School Physics,https://openstax.org/books/physics/pages/,preface
University Physics volume 1,https://openstax.org/books/university-physics-volume-1/pages/,preface
College Physics: The AP Physics Collection,https://openstax.org/books/college-physics-ap-courses/pages/,preface
University Physics volume 2,https://openstax.org/books/university-physics-volume-2/pages/,preface
University Physics volume 3,https://openstax.org/books/university-physics-volume-3/pages/,preface
Calculus Volume 1,https://openstax.org/books/calculus-volume-1/pages/,preface
Calculus Volume 2,https://openstax.org/books/calculus-volume-2/pages/,preface
Calculus Volume 3,https://openstax.org/books/calculus-volume-3/pages/,preface
College Algebra 2e,https://openstax.org/books/college-algebra-2e/pages/,preface
College Algebra 2e with Corequisite Support,https://openstax.org/books/college-algebra-corequisite-support-2e/pages/,preface
Contemporary Mathematics,https://openstax.org/books/contemporary-mathematics/pages/,preface
Elementary algebra 2e,https://openstax.org/books/elementary-algebra-2e/pages/,preface
Intermediate Algebra 2e,https://openstax.org/books/intermediate-algebra-2e/pages/,preface
Introductory Business Statistics,https://openstax.org/books/introductory-business-statistics/pages/,preface
Introductory Statistics,https://openstax.org/books/introductory-statistics/pages/,preface
Prealgebra 2e,https://openstax.org/books/prealgebra-2e/pages/,preface
Algebra Trigonometry 2e,https://openstax.org/books/algebra-and-trigonometry-2e/pages/,preface
Precalculus 2e,https://openstax.org/books/precalculus-2e/pages/,preface
Statistics High School,https://openstax.org/books/statistics/pages/,preface
Chemistry 2e,https://openstax.org/books/chemistry-2e/pages/,preface
Chemistry : Atoms first 2e,https://openstax.org/books/chemistry-atoms-first-2e/pages/,preface
Biology 2e,https://openstax.org/books/biology-2e/pages/,preface
Biology for AP courses,https://openstax.org/books/biology-ap-courses/pages/,preface
Concepts of Biology,https://openstax.org/books/concepts-biology/pages/,preface
Microbiology,https://openstax.org/books/microbiology/pages/,preface

